emotion,id,offensive,source,text
sadness,45.0,0.0,original,No sabes lo pobres que eres hasta que te das cuenta que está ardiendo la Catedral de y tu no la alcanzaste a conocer. Bueno no conoces ni la Basílica de la cdmx cara llorando fuerte
disgust,4415.0,0.0,translated_en,No hay manera de refutar esto. . Destruido por el socialismo.
fear,1362.0,0.0,translated_en,¡Los pueblos de Europa occidental deben despertar a los peligros a los que se enfrentan!
disgust,3529.0,0.0,translated_en,¡Qué puta patada libre!
anger,1228.0,1.0,original,El increíble esfuerzo de algunos periodistas para hacerse los pelotudos con el tema y seguir hablando de las PASO. Que vergüenza me dan .
others,1929.0,0.0,original,Joder que angustia el capítulo 3 de
disgust,8029.0,1.0,original,Comerle la polla a messi pero bien
others,6283.0,0.0,original,Este año han sido dos cara sonriente mano con señal de victoria tono de piel claro medio
fear,5147.0,0.0,original,Yo creo que Abascal con sus declaraciones se define el solito pero van a tener mucha voz y da mucho miedo su discurso... me pongo muy mala de escucharlo...
surprise,530.0,0.0,original,Santa Maria Madre de Dios
others,2015.0,0.0,original,llévale a Arya como Ministra de Defensa
disgust,2397.0,0.0,translated_en,"y está bastante expuesto en esta serie de 6 partes. que no es un ataque a , sino que simplemente explica cómo las celebridades e influencers se hacen y luego se utilizan para desinflar nuestros movimientos de base para la verdadera sostenibilidad."
others,4058.0,0.0,original,Ha terminado la pero no las emociones. Te esperamos en nuestra casa para vivir el Monterrey vs Tigres balón de fútbol
others,2238.0,0.0,original,Tiemblan los que no saben de amor. corazón rojo
anger,7982.0,1.0,original,"Hasta el coño del , me voy a leer. Ojalá los políticos tuvieran las mismas ganas de hacer política de la que muchos tenemos de votar. Feliz a todos."
anger,7848.0,1.0,original,Una hora viendo y maldiciendo porque el capítulo era poco más que una mancha negra. He toqueteado la configuración del televisor y ahora sí que se ve. Aunque la hora perdida no me la devuelva nadie. Empezamos de nuevo.
others,6080.0,0.0,original,Nosotras mañana si nos quedamos viendo
anger,1853.0,0.0,original,"Una ya no puede ni estar en la cola del wok sin que los de delante hagan spoiler de madre mía. Tuve que soltar un 'TE QUIERES CALLAR, por favor...'"
joy,4434.0,0.0,original,Como estoy disfrutando hoy en
anger,5971.0,0.0,original,"Para ser el club de tenéis muy poco respeto por los fans que aún no han visto el capítulo. Podríais haber esperado un poco, sobre todo poniendo la imágenes."
joy,6042.0,0.0,original,"No puede ser más espectacular! Mi nota 9,9/10"
anger,4391.0,0.0,original,"En tiempo de rojos, hambre y piojos"
sadness,617.0,0.0,original,Desconsolada me siento Todo mi apoyo!
surprise,1748.0,0.0,original,Lyanna Mormont. No hay enemigo pequeño!
sadness,7522.0,0.0,original,"No se trata de mi país, pero ¡CÓMO LO LLORO!"
joy,2771.0,0.0,original,Qué bueno que exiten los libros. Celebremos leyendo cara guiñando el ojo
fear,4972.0,0.0,translated_en,"El Embajador dice de los últimos acontecimientos: “Esta debería ser una razón para una reunión del Consejo de Seguridad, por supuesto”. Diplomáticos dicen que hasta ahora ninguno de los 15 miembros del consejo han solicitado una reunión sobre ."
joy,432.0,0.0,original,Lo que me pasó ahí dentro con Nuestra Señora de Guadalupe el día que mi papá cumplió 1 año de haberse ido al cielo... eso es indescriptible!!! manos en oración tono de piel claro medio cara con el ceño fruncido
surprise,4841.0,0.0,original,Suspense en el ambiente... quien nos va a gobernar?... cara sonriendo con gafas de sol parece q PP esta en caída libre???
joy,2123.0,0.0,original,Siemplemente el mejor capítulo de la historia
joy,1953.0,0.0,original,Pero cómo es posible que digáis que es una basura por favor. Este último capítulo es para introducirlo en el Bran de los dispositivos de almacenamiento y salvaguardarlo con diecisiete dragones. No he disfrutado tanto con un episodio en mi vida.
anger,8005.0,0.0,original,"Por favor al que haya montado la fiesta de celebración de la liga que lo echen del club para los restos, menuda caca con ojos caca con ojos"
anger,1359.0,1.0,original,"Me cago en la puta, una semana más"
sadness,4814.0,0.0,original,"Con todo el respeto hacia todo el mundo, aunque quizás no se me entienda, solo tengo dos palabras: Pobre España."
surprise,5605.0,0.0,translated_en,"Tensión irreal, todavía estoy en shock."
others,4734.0,0.0,original,De Reconquista a Resistencia. Buenas noches
sadness,524.0,0.0,original,"Muy triste la noticia del incendio de la iglesia de ayer en París. BnosDías, sed felices y el que esté libre de toda duda que... Arde en París la iglesia en la que se rodó 'El código Da Vinci' vía"
anger,2978.0,0.0,original,altavoz a volumen medio Que calidad argumentativa la de estos dos políticos;- Mientes- No mientes tu- No el mentiroso era tu- No tú más mujer con la mano en la frente tono de piel medio
surprise,175.0,0.0,original,va a donar 140 millones de euros para restaurar . Adivinen cuantos euros dona a países pobres? La respuesta les sorprenderá
joy,230.0,0.0,original,"Emmanuel Macron: ""Se ha evitado lo peor, aunque la batalla no se ha ganado del todo... Gracias a [a la] valentía [de los bomberos] se han salvado las torres y la fachada""."
others,5332.0,0.0,original,¿Y los padres de ? ¿Nada que decir? ¿Dónde están? ¿Orgullosos? ¿Hastiados? ¿Apartados?
anger,746.0,0.0,original,"El desespero de con el fracaso del golpe de estado en lo llevó a amenazar a con ""bloqueo total y completo"". No acepta que el pueblo venezolano desinfló a Guaidó. Miente al decir que nuestros médicos (60% mujeres) son soldados. Resistir y vencer."
others,6790.0,0.0,original,".@sanchezcastejon: ""Os he escuchado. Nosotros no vamos a poner cordones sanitarios"""
joy,4811.0,0.0,original,"Hacía mucho tiempo, que no veía un pueblo tan comprometido con la política de nuevo, ¡Qué emoción!"
anger,2051.0,0.0,original,"Es vergonzoso que ofrezca una calidad de compresión tan baja en un servicio por el que cobran tanto... Esto es lo que veo del último episodio de ... Bloques de colores en cada escena con el mínimo movimiento, y no es por mi conexión..."
others,7930.0,1.0,original,Intentando entender lo que pasa en el episodio porque no se ve una mierda.
disgust,3711.0,0.0,translated_en,"EE.UU. debería ocuparse de sus propios asuntos especialmente con un mal genio como Presidente. *Canadá, también.*"
joy,7886.0,1.0,original,Menuda pasada el mejor capitulo de la historia un capítulo que lleva siendo todas las temporadas que pasada a tomar por culo el rey de la noche
joy,3543.0,0.0,original,"Extraterrestre Messi, estaba defendiendo y en 2 segundos atacando adelante manos aplaudiendo"
joy,3404.0,0.0,original,trofeo CHAMPIONS 2018-2019!8 LIGAS EN LOS ÚLTIMOS 11 AÑOSHACER QUE LO EXTRAORDINARIO PAREZCA NORMAL. círculo azul círculo rojo
others,5199.0,0.0,original,“Mi me ayuda a no creer en mentiras” vía
surprise,993.0,0.0,translated_en,"Oh, ¿alguna vez dejarás de sorprendernos? cara gritando de miedo cara pensativa ¡Honestamente no pensé que iba a golpear esa directamente! ¿Cómo es que este pequeñín genera tanto poder para vencer a Allison desde esa distancia!"
sadness,7250.0,0.0,original,El llora tu pérdida mas de 500 años de historia se fueron entra las llamas.
others,1252.0,0.0,original,Calma la sangre madre tierra. Ssss
others,7865.0,0.0,original,"Ya lo he dicho en otras ocasiones, pero insisto, el gestor de redes del es el puto amo."
joy,6461.0,0.0,original,Força Barça!! Campeones de un torneo largo durante años y años!!
fear,1022.0,0.0,original,"Es impresionante ver cómo entre Venezolanos se quitan la vida, Dios mío ampáralos."
joy,6147.0,0.0,original,"Yo sueño con una Guatemala donde todos los niños tengan acceso a libros, la lectura nos hace personas diferentes, conocedoras; sólo así podemos cambiar a Guatemala ¡VAMOS dedo índice hacia arriba tono de piel claro medio ! dedo índice hacia arriba tono de piel claro medio"
sadness,7487.0,0.0,original,"Nadie sabe lo que lamento que no se haya venido ud a , para una ha sido una trizteza inmensa. No tendré vida suficiente para agradecerle a Ud su apoyo a mi de mi alma! Gracias gracias gracias Beatriz."
joy,2966.0,0.0,original,"Hoy quiero felicitar a uno de mis escritores favoritos,un ejemplo de tenacidad y constancia de como seguir escribiendo aunque nadie te lea mi querido"
joy,3718.0,0.0,original,que buena época para ver fútbol!!!!
others,5465.0,0.0,original,", la joven activista sueca que llamó a combatir el →"
others,1980.0,0.0,original,Los protagonistas de reaccionan a lo sucedido en la Batalla de Invernalia
joy,2991.0,0.0,original,"Al leer un libro nos da la entrada a otros mundos, a una nueva aventura, a otros tiempos, nuevas historias las cuales imaginamos, nos hacen llorar, reflexionar, transformar, y hasta enamorarnos de los personajes cara sonriendo con ojos sonrientes Abrir un libro es abrir magia libros símbolo de mareo"
others,7077.0,0.0,original,"A seis días sin luz, Venezuela anuncia restablecimiento total"
disgust,313.0,0.0,original,"Donald Trump sugiere haber acabado con usando aviones y tanques de agua, era de esperar, es un tipo muy proclive a sofocar incendios y conflictos internacionales a base de tanques y aviones, apuesto a que en casa mata moscas a cañonazos."
sadness,602.0,0.0,original,"Hoy nos unimos en oración al pueblo francés, mientras esperamos que el dolor por los graves daños se transforme en esperanza mediante la reconstrucción. Santa María, Nuestra Señora, ruega por nosotros."
joy,3276.0,0.0,original,"Gracias a un gol de , el superó al por 1-0 y se proclamó rey de . trofeo"
joy,3706.0,0.0,original,Gracias a Dios y a la vida por dejarnos presenciar de este ser de otro universo. Gracias a la vida por Messi. QUE GOLAZO
others,3011.0,0.0,original,Día del libro!!!! Al abrir y leer un libro te abre a un mundo de posibilidades para funcionar en la vida Lee un libro y comienza a vivir desde el aprendizaje y sabiduría …
disgust,4019.0,1.0,translated_en,Tan enfermo y cansado de la gente que aprovecha la oportunidad para presumir de que estuvieron allí. Estoy tan enfermo y cansado de egoístas idiotas egocéntricos. Twats egocéntricos!. Todo sobre MÍ!!!!!
anger,282.0,0.0,original,"No puedo con la gente que no entiende la pérdida para la humanidad con el incendio de , que todavía se atreve a expresar que es una exageración la reacción de los que sí sabemos aunque no seamos franceses mujer con la mano en la frente tono de piel medio"
disgust,7091.0,0.0,translated_en,Debido a y ahora hay una gran oportunidad política para hacer realmente algo acerca de . La dura realidad es no puede suceder sin un aumento serio en el poder.
others,3076.0,0.0,original,Los 5 mejores libros de Isaac Asimov
disgust,1200.0,1.0,translated_en,¡¡Qué repugnancia siento por esta persona!!!
surprise,318.0,0.0,original,y la traducción francés español donde está?? Necesitan alguien como yo para hacer el quite si van a transmitir en vivo...
joy,1637.0,0.0,original,Lista para el capítulo de hoy!
joy,2420.0,0.0,original,"Deseamos un feliz a todos nuestros amigos y seguidores. Dejadme que os cuente un secreto: los muy lectores, en realidad, lo celebramos cada día al elegir un libro, abrirlo y ponernos a leer."
disgust,602.0,0.0,translated_en,"Compara con el 11 de septiembre, pero sigamos atacando por pedir a la gente que deje de atacar a los musulmanes por las acciones de un pequeño grupo que comparte esa religión."
others,2196.0,0.0,original,Feliz día a todos los Jorges y Jorginas
anger,7714.0,1.0,original,"El cobarde, rata y pusilánime de en ya siente la puntita en el culo... Ya solo siéntese!!"
